fix,rsci_uuid,Barcode No.,Barcode Prefix,Legacy Chemical (CAS) No.,cas 1,cas 2,cas 3,cas 4,cas 5,Chemical Formula,Chemical Name,Ak Notes
,21d1b18d-6146-4fda-bb17-f71449c16e8e,10936,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,"CdS, CdSe",cadmium sulfoselenide,
,54f34815-8f49-48ea-ae92-224bb56de6cb,10939,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,b3ff42cf-4b90-4a49-9fec-a18c634a169d,10946,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,4fddbd98-b403-4b43-a35a-d0dc6edf0ed6,10962,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe2O3 + CaSO4,ferric oxide + calcium sulfate,
,1016bd82-a689-4f13-b158-26b0e71d360c,11139,OIL,(No CAS No. Provided),(No CAS No. Provided),,,,,C10H16,(No chemical name provided),
,cb58a2c6-1c04-4c3c-aa36-53561ae62f2d,11222,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,"K, Al, Co silicate",(No chemical name provided),
,1b350275-8328-480d-b700-9980bce4bf01,11223,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,"K, Al, Co silicate",(No chemical name provided),
,f5471972-1163-491e-97ec-c4e4b914e026,11224,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,"(Na,Ca)4(Al,SiO4)3(SO4,S,Cl)","sodium, calcium, aluminum sulfo-chlorosilicate",
,ae06b582-95b6-45b6-8fb9-3c7186329ed5,11225,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,"(Na,Ca)4(Al,SiO4)3(SO4,S,Cl)","sodium, calcium, aluminum sulfo-chlorosilicate",
,bd98458c-c361-4e54-ab9f-17d2134f1680,11229,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,C32H16N8Cu,copper phthalocyanine,
,1489cceb-7a0c-4f7a-8ce3-4d5ebca9c642,11233,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CoO-nSnO2,cobalt stannate,
,25e95aaf-f9a2-4938-a843-ad46d502687e,11239,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CoO-nSnO2,cobalt stannate,
,825ef17d-e535-49b9-a238-678485768391,11240,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CoO-nSnO2,cobalt stannate,
,c14d3535-9b35-4a1c-b24f-030c6f719bbb,11242,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CoO-nSnO2,cobalt stannate,
,0f9f2380-e427-465c-a9e8-b52d1a87c7ef,11251,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CoO-nSnO2,cobalt stannate,
,51e489fe-468b-4bd8-a783-2d73e21ac6dd,11255,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,"(Na,Ca)4(Al,SiO4)3(SO4,S,Cl)","sodium, calcium, aluminum sulfo-chlorosilicate",
,f97a54e5-5bfb-4d32-be36-6e774070b2e7,11259,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,"K, Al, Co silicate",(No chemical name provided),
,c6c73d3a-4afc-44e8-81c4-426ec2c38a1f,11304,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,MnO2 + Fe(OH)3,manganese dioxide + iron hydroxide,
,9b8816c8-7642-4757-ae8f-823586396081,11305,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,MnO2 + Fe(OH)3,manganese dioxide + iron hydroxide,
,067238f7-4ae9-46cf-a97e-1784630a4103,11306,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,MnO2 + Fe(OH)3,manganese dioxide + iron hydroxide,
,8bc2fb85-16f2-436f-95a9-00027079ef95,11331,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Sb,(No chemical name provided),
,d8ff3f7e-246f-4531-a522-0056f50f1b1e,11333,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,CaCO3,calcium carbonate,
,4887a6b9-b60c-4cf4-9e15-9e24ce7871bf,11338,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,FeCr2O4,ferrous chromite,
,b8800f6f-a51b-41e8-b3cf-4222b2f625c9,11340,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,(NH4)2Mn2(P2O7)2,(No chemical name provided),
,673f4812-ad94-4a12-a041-3b1bed854489,11344,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,(NH4)2Mn2(P2O7)2,(No chemical name provided),
,3b618723-d1cb-40c0-8a6b-c6b2b08dab65,11358,PIG,(No CAS No. Provided),(No CAS No. Provided),,,,,Fe203 + FeOOH,iron oxide - Pigment Red 101 + Pigment Yellow 42,
