rsci_uuid,gbif_canonical_name,gbif_uri,Sample Type,Typical Use,gbif_statement,sample_type_pref_label,typical_use_pref_label,materials_pref_labels,READY_natural-synthetic,READY_mixture_type,READY_mixture_note_ratio,READY_mixture_note_technique,READY_comp_pigment_name,READY_comp_pigment_INCOLLECTION,READY_comp_pigement_type,READY_comp_pigment_dim_value,READY_comp_pigment_dim_unit,READY_comp_pigment_dim_type,READY_comp_pigment_dim_note,READY_comp_basemix_INCOLLECTION,READY_comp_basemix_name,READY_comp_basemix_type,READY_comp_basemix_dim_value,READY_comp_basemix_dim_unit,READY_comp_basemix_dim_type,READY_comp_basemix_dim_note,READY_comp1_name,READY_comp1_INCOLLECTION,READY_comp1_type,READY_comp1_dim_value,READY_comp1_dim_unit,READY_comp1_dim_type,READY_comp1_dim_note,READY_comp2_name,READY_comp2_INCOLLECTION,READY_comp2_type,READY_comp2_dim_value,READY_comp2_dim_unit,READY_comp2_dim_type,READY_comp2_dim_note,READY_comp3_name,READY_comp3_INCOLLECTION,READY_comp3_type,READY_comp3_dim_value,READY_comp3_dim_unit,READY_comp3_dim_type,READY_comp3_dim_note
01bab1e7-1d77-4198-b0ea-afc9108aaf89,,,Prepared mixture,,,mixtures (materials),,"[""mixtures (materials)""]",,,,,Lead White (Kremer Pigmente),,colorant,1.358,Gram,Mass,(No note),88ed5a2c-da1c-477f-95b0-15e127507d14,(From reference sample: Egg (98) / Wax (2.0)),base mixture,4.397,Gram,Mass,(No note),,,,,,,,,,,,,,,,,,,,,
01bca22c-ea6e-4982-8027-0f44e52e9d86,,,Varnish,Varnish / Protective Coating,,varnish,,"[""varnish""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01c40f98-32a7-4822-ae04-189620b1849f,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01ca338a-df5f-4251-925a-88cfd971e5c5,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01cad1d0-0205-41ab-805f-d3a9c8d1f193,,,Photographic Paper,Photography,,photographic paper,,"[""photographic paper""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01de1b38-3c3e-41fa-9aad-d360d7ff3ed4,,,Wax,Binding Medium,,wax,,"[""wax""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01e386ec-cc1b-4bf1-a547-133ebee805ef,,,Pastel,Colorant,,pastel (material),,"[""pastel (material)""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01e5452d-5151-4547-94d2-ee794e5be5b1,,,Pigment,Colorant,,pigments,,"[""pigments""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01e7d8f1-db50-42ac-a86d-b6eac3728bfc,,,"Paint, watercolor",Colorant,,watercolor (paint),,"[""watercolor (paint)""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01f745c0-e89d-4ebf-ae78-efabe4e04e9b,,,Natural Resin,Binding Medium,,natural resin,,"[""natural resin""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01fe6635-4f19-4a94-919c-b785da09d629,,,"Paint, oil-based, water mixable",Colorant,,water miscible oil paint,,"[""water miscible oil paint""]",synthetic,organic - inorganic mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01ffae75-fbd4-451c-98b5-bd5f76302d39,,,Pigment,Colorant,,pigments,,"[""pigments""]",natural,inorganic - inorganic mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020d13b7-49b3-4950-b39e-2250d0adf8ef,,,Pigment,Colorant,,pigments,,"[""pigments""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021f3b5f-9b06-4834-84a3-ebd53ab1ad45,,,"Paint, encaustic",Colorant,,encaustic paint,,"[""encaustic paint""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
022893cb-69bb-48ca-b45a-faaee09c9332,,,Pigment,Colorant,,pigments,,"[""pigments""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02295b44-3555-4009-86da-2186914dcd3a,Magnolia soulangeana,https://www.gbif.org/species/7925303,Wood,Construction Material,Magnolia soulangeana (https://www.gbif.org/species/7925303),wood (plant material),,"[""wood (plant material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02310c10-c02c-4590-a32c-c544ca2ae70c,,,Gum,Binding Medium,,gum (material),,"[""gum (material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
