rsci_uuid,READY_dim1_value,READY_dim1_lowestvalue,READY_dim1_highestvalue,READY_dim1_unit,READY_dim1_type,READY_dim1_note,READY_dim2_value,READY_dim2_lowestvalue,READY_dim2_highestvalue,READY_dim2_unit,READY_dim2_type,READY_dim2_note
8a6c2b20-2a32-4a3d-bf67-aaebd89a32fb,,,,,,,,,,,,
482664cf-ceda-4a04-85e7-a3beef9f8158,,,,,,,,,,,,
99b22fa3-6a84-40b4-ad8b-3519f445762b,,,,,,,,,,,,
2d90543b-2683-4361-9f5d-a953a3693a9e,,,,,,,,,,,,
e42617a1-960e-497f-9cd6-5028df1cdd2d,,,,,,,,,,,,
1c4158ef-04cd-401e-8300-733d1dd52af0,,,,,,,,,,,,
cb11dc8b-0584-4525-a60d-d0e68145c7b0,,,,,,,,,,,,
baca397a-7f00-4e2a-bdbc-2c9cca85a29f,,,,,,,,,,,,
2182ab51-657f-4c11-81c7-b39fce395bd0,,,,,,,,,,,,
f956957b-42bb-4540-bd47-7836e91fc30a,,,,,,,,,,,,
fbd939b2-d647-4ccf-9462-567c408fdfd3,,,,,,,,,,,,
41075140-8398-45c5-ad56-cc7a8be381b0,,,,,,,,,,,,
febd5710-89df-4a1d-b2d1-f301e3d39220,,,,,,,,,,,,
140b1129-dc9a-42f3-847d-98adff98df34,,,,,,,,,,,,
938f25ec-1a8a-4403-8f8a-e80465a6a0fc,,,,,,,,,,,,
ca499afd-e100-4f20-9248-c9295fb02307,,,,,,,,,,,,
e4c67725-9958-4911-8c25-bc9da874784b,,,,,,,,,,,,
